Accession	Female_Parent	Male_Parent	Cross_Type
NCP06-0048	NCP04-0062	96-61	biparental
NCP06-0058	NCP04-0144	97A-04	biparental
NCP09-0017	93-17	NCP06-0058	biparental
NCP09-0022	NCDM02-0105	NC413	biparental
NCP09-0027	NC03-0302	NC413	biparental
NCP09-0060	NC417	NCP05-0095	biparental
NCP09-0089	NCP05-0100	NC03-0007	biparental
NCP09-0107	NCP06-0058	Evangeline	biparental
NCP12-0114	NCP01-0192	NCP05-0055	biparental
NCP12-0233	NCP09-0017	NCP06-0020	biparental
NCP12-0258	NCP09-0060	97A-04	biparental
NCP12-0268	NCP09-0060	NCP09-0022	biparental
NCP12-0284	NCP09-0107	NC08-0553	biparental
NCP13-0005	NC07-0847		biparental
NCP13-0030	NC08-0427		biparental
NCP13-0196	NC07-0847	NCP09-0027	biparental
NCP13-0285	NCP06-0002	NCP06-0048	biparental
NCP13-0315	NCP06-0016	NC08-0553	biparental
NCP13-0322	NCP09-0017	NCP09-0060	biparental
NCP13-0326	NCP09-0017	NCP09-0060	biparental
NCP13-0329	NCP09-0017	NCP09-0060	biparental
NCP13-0408	NCP06-0002	NCP06-0020	biparental
NCP14-0014	NC07-0847		biparental
NCP14-0018	NC07-0847		biparental
NCP14-0021	NC07-0847		biparental
NCP14-0099	NC08-0553		biparental
NCP14-0156	NCP09-0022		biparental
NCP14-0224	NCP09-0107		biparental
NCP15-0006	NC09-0188	NCP12-0284	biparental
NCP15-0007	NC09-0188	NCP12-0284	biparental
NCP15-0017	NCP09-0107	NC09-0188	biparental
NCP15-0021	NCP09-0107	NC09-0188	biparental
NCP15-0022	NCP09-0107	NC09-0188	biparental
NCP15-0025	NCP09-0107	NCP12-0268	biparental
NCP15-0037	NCP09-0107	NCP12-0268	biparental
NCP15-0040	NCP09-0107	NCP12-0268	biparental
NCP15-0041	NCP09-0107	NCP12-0268	biparental
NCP15-0050	NCP12-0114	NC09-0188	biparental
NCP15-0052	NCP12-0258	NCP09-0107	biparental
NCP15-0058	NCP12-0284	NCP06-0020	biparental
NCP15-0069	NCP12-0284	NCP06-0020	biparental
NCP15-0077	NC07-0847		biparental
NCP15-0099	NC08-0544		biparental
NCP15-0129	NCP09-0060		biparental
NCP15-0130	NCP09-0060		biparental
Orleans	97A-04		biparental
Patriot			
PPP039			
Q0755_2			
RedResisto			
Regal	W99		biparental
Ruddy	W119		biparental
Suwon122			
Tanzania			
TARS1			
UR17			
W119			
W174			
W99			
WhiteEvangeline			
Whitestar	Laupahoehoe		biparental
